17/05/2024 22:16:20|0|2
17/05/2024 22:16:24|3|4
17/05/2024 22:16:28|0|6
17/05/2024 22:16:32|2|1
17/05/2024 22:16:36|1|1
17/05/2024 22:16:40|1|1
17/05/2024 22:16:46|3|6
17/05/2024 22:16:52|0|6
17/05/2024 22:16:57|4|8
17/05/2024 22:17:01|1|5
17/05/2024 22:17:07|1|8
17/05/2024 22:17:11|2|1
17/05/2024 22:17:17|1|2
17/05/2024 22:17:24|1|1
17/05/2024 22:17:30|0|1
17/05/2024 22:17:36|4|3
17/05/2024 22:17:41|2|1
17/05/2024 22:17:47|2|9
17/05/2024 22:17:51|4|0
17/05/2024 22:17:56|4|8
17/05/2024 22:18:01|4|8
17/05/2024 22:18:05|2|2
17/05/2024 22:18:09|0|8
17/05/2024 22:18:12|3|0
17/05/2024 22:18:19|3|5
21/05/2024 11:17:48|0|0
21/05/2024 11:17:54|1|5
21/05/2024 11:17:59|1|0
21/05/2024 11:18:03|2|0
21/05/2024 11:18:08|3|9
21/05/2024 11:18:14|4|1
21/05/2024 11:18:18|0|1
21/05/2024 11:18:22|4|2
21/05/2024 11:18:25|4|3
21/05/2024 11:18:31|2|5
21/05/2024 11:18:37|1|8
21/05/2024 11:18:44|2|2
21/05/2024 11:18:48|4|8
21/05/2024 11:18:54|4|2
21/05/2024 11:19:00|2|5
21/05/2024 11:19:04|2|2
21/05/2024 11:19:09|0|2
21/05/2024 11:19:12|1|5
21/05/2024 11:19:18|0|1
21/05/2024 11:19:25|3|4
22/05/2024 12:52:30|1|8
22/05/2024 12:52:36|0|4
22/05/2024 12:52:41|4|0
22/05/2024 12:52:45|0|6
22/05/2024 12:52:50|2|1
22/05/2024 12:52:53|1|2
22/05/2024 12:52:58|3|7
22/05/2024 12:53:05|3|2
22/05/2024 12:53:10|2|7
22/05/2024 12:53:14|3|1
22/05/2024 12:53:19|4|9
22/05/2024 12:53:25|3|6
22/05/2024 12:53:30|2|9
22/05/2024 12:53:37|3|5
22/05/2024 12:53:43|5|5
22/05/2024 12:53:49|1|7
22/05/2024 12:53:55|4|4
22/05/2024 12:54:00|4|9
22/05/2024 12:54:06|4|6
22/05/2024 12:54:12|1|6
22/05/2024 12:54:18|2|1
22/05/2024 12:54:24|2|2
